id,name,type,source,license,commercial
e-12739,Barbell back squats 75%,exercise,centr,Centr (scraped — personal use),NO
mw-barbell-banded-back-squat,Barbell Banded Back Squat,exercise,musclewiki,MuscleWiki (scraped — personal use),NO
mw-barbell-banded-deadlift,Barbell Banded Deadlift,exercise,musclewiki,MuscleWiki (scraped — personal use),NO
mw-barbell-banded-front-squat,Barbell Banded Front Squat,exercise,musclewiki,MuscleWiki (scraped — personal use),NO
mw-barbell-banded-romanian-deadlift,Barbell Banded Romanian Deadlift,exercise,musclewiki,MuscleWiki (scraped — personal use),NO
mw-barbell-banded-split-squat,Barbell Banded Split Squat,exercise,musclewiki,MuscleWiki (scraped — personal use),NO
mw-barbell-behind-the-back-30-degree-shrug,Barbell Behind The Back 30 Degree Shrug,exercise,musclewiki,MuscleWiki (scraped — personal use),NO
mw-barbell-behind-the-back-shrug,Barbell Behind The Back Shrug,exercise,musclewiki,MuscleWiki (scraped — personal use),NO
mw-barbell-behind-the-back-wrist-curl,Barbell Behind The Back Wrist Curl,exercise,musclewiki,MuscleWiki (scraped — personal use),NO
mw-barbell-behind-the-neck-press,Barbell Behind The Neck Press,exercise,musclewiki,MuscleWiki (scraped — personal use),NO
mw-barbell-behind-the-neck-seated-overhead-press,Barbell Behind The Neck Seated Overhead Press,exercise,musclewiki,MuscleWiki (scraped — personal use),NO
mw-barbell-bench-press,Barbell Bench Press,exercise,musclewiki,MuscleWiki (scraped — personal use),NO
fedb-Barbell_Bench_Press_-_Medium_Grip,Barbell Bench Press - Medium Grip,exercise,free-exercise-db,Public Domain (Unlicense),YES
mw-barbell-bent-over-row,Barbell Bent Over Row,exercise,musclewiki,MuscleWiki (scraped — personal use),NO
mw-barbell-block-conventional-deadlift,Barbell Block Conventional Deadlift,exercise,musclewiki,MuscleWiki (scraped — personal use),NO
mw-barbell-bradford-press,Barbell Bradford Press,exercise,musclewiki,MuscleWiki (scraped — personal use),NO
mw-barbell-bulgarian-split-squat,Barbell Bulgarian Split Squat,exercise,musclewiki,MuscleWiki (scraped — personal use),NO
mw-barbell-calf-jump,Barbell Calf Jump,exercise,musclewiki,MuscleWiki (scraped — personal use),NO
mw-barbell-calf-raises,Barbell Calf Raises,exercise,musclewiki,MuscleWiki (scraped — personal use),NO
mw-barbell-clean-and-jerk,Barbell Clean And Jerk,exercise,musclewiki,MuscleWiki (scraped — personal use),NO
mw-barbell-clean-and-press,Barbell Clean And Press,exercise,musclewiki,MuscleWiki (scraped — personal use),NO
e-8621,Barbell close-grip bench press,exercise,centr,Centr (scraped — personal use),NO
mw-barbell-coan-deadlift,Barbell Coan Deadlift,exercise,musclewiki,MuscleWiki (scraped — personal use),NO
mw-barbell-conventional-pause-deadlift,Barbell Conventional Pause Deadlift,exercise,musclewiki,MuscleWiki (scraped — personal use),NO
